__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726772539.527801,527801374.000000000,1726772539.000000000,4.517321587,1.033106804,4.954939842,0.133365989,-0.080615006,0.048408002,,,,,,,,,,,,,,,
1726772539.533788,533787856.000000000,1726772539.000000000,4.492670536,1.036653519,4.736121655,0.134525999,-0.078705013,0.049834996,,,,,,,,,,,,,,,
1726772539.537626,537626059.000000000,1726772539.000000000,4.598940372,0.828703880,5.044290066,0.131139994,-0.080557004,0.056168005,,,,,,,,,,,,,,,
1726772539.557543,557542744.000000000,1726772539.000000000,4.638223648,0.877257347,4.945067883,0.134019002,-0.080665015,0.055884004,,,,,,,,,,,,,,,
1726772539.561488,561487633.000000000,1726772539.000000000,4.686606407,0.914653301,4.944448471,0.134423986,-0.081140012,0.060509004,,,,,,,,,,,,,,,
1726772539.565274,565273930.000000000,1726772539.000000000,4.777398109,0.841669083,4.910493851,0.133177012,-0.083038002,0.063443005,,,,,,,,,,,,,,,
1726772539.589762,589761652.000000000,1726772539.000000000,4.712043285,0.758858204,5.069891453,0.130913988,-0.081754006,0.064603999,,,,,,,,,,,,,,,
1726772539.596592,596591744.000000000,1726772539.000000000,4.905151367,0.822330952,4.691248894,0.133341998,-0.084088013,0.065217003,,,,,,,,,,,,,,,
1726772539.600788,600788374.000000000,1726772539.000000000,4.925414085,0.770315647,5.095739365,0.131568015,-0.085835010,0.066858001,,,,,,,,,,,,,,,
1726772539.619453,619453022.000000000,1726772539.000000000,4.763557434,0.703768730,5.160919189,0.130292997,-0.083182007,0.064092994,,,,,,,,,,,,,,,
1726772539.624076,624075985.000000000,1726772539.000000000,4.847872734,0.860204697,4.942472935,0.132348999,-0.084608011,0.067189008,,,,,,,,,,,,,,,
1726772539.628804,628803670.000000000,1726772539.000000000,4.778254032,0.772961617,4.664410591,0.130786002,-0.082690015,0.066716000,,,,,,,,,,,,,,,
1726772539.651431,651431022.000000000,1726772539.000000000,4.815969944,0.823244095,5.006937027,0.132145002,-0.082880013,0.066335998,,,,,,,,,,,,,,,
1726772539.656492,656492115.000000000,1726772539.000000000,4.922469139,0.871224880,4.884221077,0.133706018,-0.082270011,0.066896997,,,,,,,,,,,,,,,
1726772539.659471,659470967.000000000,1726772539.000000000,4.991350174,0.754848003,4.984127045,0.132328004,-0.079291008,0.069498017,,,,,,,,,,,,,,,
1726772539.682265,682265300.000000000,1726772539.000000000,5.039788246,0.781107903,4.984751701,0.134848982,-0.076673009,0.070412010,,,,,,,,,,,,,,,
1726772539.688230,688229818.000000000,1726772539.000000000,4.994643211,0.816976070,4.827932358,0.136579975,-0.074970014,0.069767013,,,,,,,,,,,,,,,
1726772539.692053,692052818.000000000,1726772539.000000000,4.974908829,0.707755089,4.891472816,0.134106979,-0.075171001,0.069238007,,,,,,,,,,,,,,,
1726772539.712933,712932633.000000000,1726772539.000000000,5.032979488,0.624886990,5.077445984,0.132372007,-0.077041015,0.068531014,,,,,,,,,,,,,,,
1726772539.717608,717608078.000000000,1726772539.000000000,4.917833328,0.731788158,4.828675747,0.134908974,-0.074640006,0.065475017,,,,,,,,,,,,,,,
1726772539.721055,721054726.000000000,1726772539.000000000,4.920503139,0.712080956,4.985902786,0.134848997,-0.074130006,0.063406006,,,,,,,,,,,,,,,
1726772539.743980,743979892.000000000,1726772539.000000000,4.947173119,0.627835274,4.736239910,0.133827984,-0.074154004,0.061920010,,,,,,,,,,,,,,,
1726772539.748098,748097578.000000000,1726772539.000000000,4.974448204,0.541944027,4.653647423,0.130591005,-0.072126001,0.062941007,,,,,,,,,,,,,,,
1726772539.751840,751839596.000000000,1726772539.000000000,4.899239540,0.739083290,5.145730019,0.126975983,-0.070188008,0.065267995,,,,,,,,,,,,,,,
1726772539.774452,774452337.000000000,1726772539.000000000,4.935069084,0.568572044,5.384301662,0.114828989,-0.075541005,0.060929999,,,,,,,,,,,,,,,
1726772539.778603,778602818.000000000,1726772539.000000000,4.964029789,0.378967762,5.238047600,0.107280999,-0.078551009,0.055731006,,,,,,,,,,,,,,,
1726772539.782271,782270633.000000000,1726772539.000000000,4.940651894,0.233734131,5.711502552,0.102407001,-0.079756007,0.052877996,,,,,,,,,,,,,,,
1726772539.805922,805921485.000000000,1726772539.000000000,4.888897896,0.179648399,5.526063442,0.101913005,-0.078460008,0.048287004,,,,,,,,,,,,,,,
1726772539.809978,809978152.000000000,1726772539.000000000,4.848125458,0.181747437,5.370667934,0.101770982,-0.078601010,0.043841999,,,,,,,,,,,,,,,
1726772539.813687,813687429.000000000,1726772539.000000000,4.711015701,0.180255413,5.719128132,0.101017989,-0.075984001,0.041536003,,,,,,,,,,,,,,,
1726772539.836428,836427689.000000000,1726772539.000000000,4.593016148,0.308715343,5.624079227,0.103230998,-0.076192006,0.033977002,,,,,,,,,,,,,,,
1726772539.840553,840552818.000000000,1726772539.000000000,4.328788757,0.301594257,5.377862453,0.103769995,-0.071798012,0.024914997,,,,,,,,,,,,,,,
1726772539.844076,844076318.000000000,1726772539.000000000,4.429663181,0.272516727,5.850215435,0.101658992,-0.074340016,0.020025989,,,,,,,,,,,,,,,
1726772539.872344,872343781.000000000,1726772539.000000000,4.173630238,0.210691452,5.409521103,0.101787984,-0.072964005,0.007401001,,,,,,,,,,,,,,,
1726772539.876450,876449633.000000000,1726772539.000000000,4.135155201,0.086672544,5.406558037,0.100478992,-0.072617009,0.007425996,,,,,,,,,,,,,,,
1726772539.899979,899979170.000000000,1726772539.000000000,4.111749172,0.211946487,5.685639381,0.101699986,-0.074897014,0.003745002,,,,,,,,,,,,,,,
1726772539.905527,905526689.000000000,1726772539.000000000,4.014392376,0.173649788,5.184775352,0.101080999,-0.074206010,0.003806996,,,,,,,,,,,,,,,
1726772539.908320,908320318.000000000,1726772539.000000000,4.048140049,0.114701509,5.559748650,0.098733000,-0.076096013,0.005101994,,,,,,,,,,,,,,,
1726772539.928794,928794022.000000000,1726772539.000000000,3.704068184,0.484088898,5.502610683,0.103214994,-0.072378017,0.001392994,,,,,,,,,,,,,,,
1726772539.933348,933348392.000000000,1726772539.000000000,2.446325064,-1.897710800,4.567832470,0.120358005,-0.078180008,-0.058404006,,,,,,,,,,,,,,,
1726772539.936920,936919615.000000000,1726772539.000000000,2.502374172,-2.888684273,1.976557970,0.284911036,-0.116463020,-0.031033006,,,,,,,,,,,,,,,
1726772539.959800,959800078.000000000,1726772539.000000000,3.618235111,2.811246872,1.027602315,0.507381022,-0.162230015,-0.033209004,,,,,,,,,,,,,,,
1726772539.964441,964440911.000000000,1726772539.000000000,5.246544838,7.761733532,2.277378798,0.515259981,-0.175948009,0.003777001,,,,,,,,,,,,,,,
1726772539.967637,967636670.000000000,1726772539.000000000,5.283143997,4.333262444,2.989756584,0.308710039,-0.141930014,0.021528002,,,,,,,,,,,,,,,
1726772539.991746,991746448.000000000,1726772539.000000000,3.869560957,1.197386742,2.951404333,0.220292002,-0.110824011,0.008288998,,,,,,,,,,,,,,,
1726772539.998563,998562966.000000000,1726772539.000000000,3.491530895,1.024039268,3.553194761,0.247253031,-0.132339031,-0.024684008,,,,,,,,,,,,,,,
1726772540.002698,2698448.000000000,1726772540.000000000,4.515503883,1.745907784,3.933922768,0.266831994,-0.152927011,-0.066204011,,,,,,,,,,,,,,,
1726772540.021823,21823392.000000000,1726772540.000000000,4.751463413,0.577932358,2.591151237,0.254416019,-0.135290027,-0.080388024,,,,,,,,,,,,,,,
1726772540.026380,26380040.000000000,1726772540.000000000,4.069017410,-0.537902832,2.559665918,0.281722009,-0.101927005,-0.076032013,,,,,,,,,,,,,,,
1726772540.030024,30024337.000000000,1726772540.000000000,4.029975414,0.826223373,2.838252068,0.339163035,-0.095355004,-0.078719005,,,,,,,,,,,,,,,
1726772540.052819,52819077.000000000,1726772540.000000000,4.355890751,1.222310543,3.080274105,0.336813986,-0.098517008,-0.056151006,,,,,,,,,,,,,,,
1726772540.056876,56876448.000000000,1726772540.000000000,4.926165581,0.603850365,2.421784878,0.317732036,-0.105576001,-0.054055009,,,,,,,,,,,,,,,
1726772540.060582,60581707.000000000,1726772540.000000000,5.176766396,0.479504108,3.472941399,0.327618986,-0.095674001,-0.048038002,,,,,,,,,,,,,,,
1726772540.085339,85339263.000000000,1726772540.000000000,4.969480515,1.322712898,3.260283470,0.336974978,-0.081243008,-0.030192003,,,,,,,,,,,,,,,
1726772540.092330,92329837.000000000,1726772540.000000000,4.906140327,1.586983681,2.746416807,0.327676058,-0.079320021,-0.031816002,,,,,,,,,,,,,,,
1726772540.095371,95370874.000000000,1726772540.000000000,5.278388977,1.062091827,3.205432653,0.312037051,-0.082682006,-0.022840008,,,,,,,,,,,,,,,
1726772540.113856,113856114.000000000,1726772540.000000000,5.277794361,1.324160576,3.182057619,0.306747019,-0.076139018,-0.001628004,,,,,,,,,,,,,,,
