__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726873518.999511,,,,,,,,,,,,,1726873518.999511480,-0.156536284,-0.096538092,0.428915054,0.050053481,-0.076861434,2.258565193,0.898676217,0.381184161,0.325233549,0.515279412
1726873519.009604,,,,,,,,,,,,,1726873519.009604216,-0.199115916,-0.092694124,0.434456497,0.069543086,-0.084539600,2.246152010,0.894015908,0.381971627,0.324899614,0.516401589
1726873519.009702,,,,,,,,,,,,,1726873519.009701967,-0.199316298,-0.096124701,0.431720853,0.069162160,-0.085895404,2.252533535,0.895240605,0.381693453,0.324388921,0.516356409
1726873519.019584,,,,,,,,,,,,,1726873519.019583941,-0.121771690,-0.095605306,0.429265022,0.034522947,-0.069116704,2.257216901,0.899868071,0.380988270,0.324843645,0.514133513
1726873519.029509,,,,,,,,,,,,,1726873519.029509306,-0.124319150,-0.093838936,0.431663036,0.035866864,-0.068958335,2.251860889,0.898679852,0.381130219,0.324570090,0.514138341
1726873519.039591,,,,,,,,,,,,,1726873519.039590597,-0.124182997,-0.093946175,0.432424247,0.035723981,-0.069007747,2.250168349,0.898315668,0.381171107,0.324091405,0.514077365
1726873519.049507,,,,,,,,,,,,,1726873519.049507380,-0.139654239,-0.096201137,0.426961660,0.042660996,-0.073056966,2.262667038,0.900303602,0.380743146,0.323059052,0.514501393
1726873519.059579,,,,,,,,,,,,,1726873519.059579372,-0.189109620,-0.096346982,0.429247618,0.064754613,-0.083656378,2.258050487,0.896969914,0.380972892,0.321998864,0.515815914
1726873519.059674,,,,,,,,,,,,,1726873519.059674025,-0.194027905,-0.094074070,0.433416933,0.067060776,-0.083990693,2.248584855,0.894761562,0.381444067,0.321834028,0.515833974
1726873519.069618,,,,,,,,,,,,,1726873519.069618464,-0.195103897,-0.092246376,0.437630266,0.067540601,-0.083725810,2.239018225,0.892697155,0.381813735,0.321619183,0.515790999
1726873519.079593,,,,,,,,,,,,,1726873519.079592943,-0.193188886,-0.091486744,0.438291818,0.066784471,-0.083026715,2.237481085,0.892494619,0.381827444,0.321371406,0.515716016
1726873519.089582,,,,,,,,,,,,,1726873519.089581966,-0.141423793,-0.030353295,0.417316407,0.057876352,-0.043245647,2.280355094,0.905884802,0.382407755,0.323007673,0.515009642
1726873519.099484,,,,,,,,,,,,,1726873519.099484444,-0.187015161,-0.089333307,0.438122183,0.064498357,-0.080729149,2.237709372,0.892956793,0.381702751,0.320949882,0.515484750
1726873519.109586,,,,,,,,,,,,,1726873519.109585524,-0.187722943,-0.088517553,0.436953366,0.065097228,-0.080434158,2.240266391,0.893512368,0.381594300,0.320739508,0.515511572
1726873519.109680,,,,,,,,,,,,,1726873519.109680176,-0.187657537,-0.088444382,0.435813665,0.065186135,-0.080304548,2.242811578,0.894074202,0.381488502,0.320566356,0.515485466
1726873519.119583,,,,,,,,,,,,,1726873519.119582891,-0.185731423,-0.087222727,0.434473068,0.064703196,-0.079251684,2.245722455,0.894855201,0.381382406,0.320424974,0.515419900
1726873519.129580,,,,,,,,,,,,,1726873519.129580498,-0.185704549,-0.086130656,0.433152854,0.065041326,-0.078664042,2.248592963,0.895522356,0.381298482,0.320321143,0.515407443
1726873519.139478,,,,,,,,,,,,,1726873519.139477730,-0.184560627,-0.086477752,0.431160092,0.064627588,-0.078431435,2.253067309,0.896533728,0.381150842,0.320254266,0.515393674
1726873519.149508,,,,,,,,,,,,,1726873519.149508476,-0.184337557,-0.086303553,0.428831756,0.064767301,-0.078138627,2.258245737,0.897665262,0.381030828,0.320196748,0.515420854
1726873519.159579,,,,,,,,,,,,,1726873519.159579277,-0.183253904,-0.086445552,0.426406890,0.064459294,-0.077799834,2.263655209,0.898871243,0.380924940,0.320169747,0.515387118
1726873519.159673,,,,,,,,,,,,,1726873519.159673452,-0.184238711,-0.086094606,0.423620999,0.065218180,-0.077647746,2.269824187,0.900145948,0.380832106,0.320152193,0.515426695
